Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TotalHrInBed,TotalHrAsleep,DayofWeek
7086361926,4/26/16 0:00,1,485,500,8.333333333,8.083333333,Tuesday
8378563200,4/26/16 0:00,1,550,584,9.733333333,9.166666667,Tuesday
2026352035,4/27/16 0:00,1,508,545,9.083333333,8.466666667,Wednesday
2347167796,4/27/16 0:00,1,448,499,8.316666667,7.466666667,Wednesday
3977333714,4/27/16 0:00,1,349,540,9,5.816666667,Wednesday
4319703577,4/27/16 0:00,1,286,307,5.116666667,4.766666667,Wednesday
4388161847,4/27/16 0:00,1,439,500,8.333333333,7.316666667,Wednesday
4445114986,4/27/16 0:00,1,332,374,6.233333333,5.533333333,Wednesday
4702921684,4/27/16 0:00,1,432,449,7.483333333,7.2,Wednesday
5553957443,4/27/16 0:00,1,347,391,6.516666667,5.783333333,Wednesday
5577150313,4/27/16 0:00,1,424,452,7.533333333,7.066666667,Wednesday
6117666160,4/27/16 0:00,1,542,557,9.283333333,9.033333333,Wednesday
6962181067,4/27/16 0:00,1,455,467,7.783333333,7.583333333,Wednesday
7086361926,4/27/16 0:00,1,469,479,7.983333333,7.816666667,Wednesday
8378563200,4/27/16 0:00,1,531,600,10,8.85,Wednesday
8792009665,4/27/16 0:00,1,423,428,7.133333333,7.05,Wednesday
1503960366,4/28/16 0:00,1,366,393,6.55,6.1,Thursday
1927972279,4/28/16 0:00,1,166,178,2.966666667,2.766666667,Thursday
2026352035,4/28/16 0:00,1,513,545,9.083333333,8.55,Thursday
2347167796,4/28/16 0:00,1,408,450,7.5,6.8,Thursday
3977333714,4/28/16 0:00,1,261,423,7.05,4.35,Thursday
4319703577,4/28/16 0:00,1,497,522,8.7,8.283333333,Thursday
4388161847,4/28/16 0:00,1,428,458,7.633333333,7.133333333,Thursday
4445114986,4/28/16 0:00,1,419,442,7.366666667,6.983333333,Thursday
4702921684,4/28/16 0:00,1,442,461,7.683333333,7.366666667,Thursday
5553957443,4/28/16 0:00,1,421,457,7.616666667,7.016666667,Thursday
5577150313,4/28/16 0:00,1,361,372,6.2,6.016666667,Thursday
6117666160,4/28/16 0:00,1,393,416,6.933333333,6.55,Thursday
6962181067,4/28/16 0:00,1,440,453,7.55,7.333333333,Thursday
7086361926,4/28/16 0:00,1,354,367,6.116666667,5.9,Thursday
8378563200,4/28/16 0:00,1,506,556,9.266666667,8.433333333,Thursday
8792009665,4/28/16 0:00,1,402,416,6.933333333,6.7,Thursday
1503960366,4/29/16 0:00,1,341,354,5.9,5.683333333,Friday
1644430081,4/29/16 0:00,1,119,127,2.116666667,1.983333333,Friday
2026352035,4/29/16 0:00,1,490,510,8.5,8.166666667,Friday
2347167796,4/29/16 0:00,1,411,473,7.883333333,6.85,Friday
3977333714,4/29/16 0:00,1,333,478,7.966666667,5.55,Friday
4319703577,4/29/16 0:00,1,523,546,9.1,8.716666667,Friday
4445114986,4/29/16 0:00,1,106,108,1.8,1.766666667,Friday
4558609924,4/29/16 0:00,1,171,179,2.983333333,2.85,Friday
4702921684,4/29/16 0:00,1,433,447,7.45,7.216666667,Friday
5553957443,4/29/16 0:00,1,450,495,8.25,7.5,Friday
5577150313,4/29/16 0:00,1,459,485,8.083333333,7.65,Friday
6117666160,4/29/16 0:00,1,600,636,10.6,10,Friday
6962181067,4/29/16 0:00,1,433,447,7.45,7.216666667,Friday
8378563200,4/29/16 0:00,1,527,562,9.366666667,8.783333333,Friday
8792009665,4/29/16 0:00,1,398,406,6.766666667,6.633333333,Friday
4388161847,4/30/16 0:00,2,409,430,7.166666667,6.816666667,Saturday
5553957443,4/30/16 0:00,2,775,843,14.05,12.91666667,Saturday
1503960366,4/30/16 0:00,1,404,425,7.083333333,6.733333333,Saturday
1644430081,4/30/16 0:00,1,124,142,2.366666667,2.066666667,Saturday
1844505072,4/30/16 0:00,1,722,961,16.01666667,12.03333333,Saturday
2026352035,4/30/16 0:00,1,573,607,10.11666667,9.55,Saturday
3977333714,4/30/16 0:00,1,237,382,6.366666667,3.95,Saturday
4319703577,4/30/16 0:00,1,490,516,8.6,8.166666667,Saturday
4445114986,4/30/16 0:00,1,322,353,5.883333333,5.366666667,Saturday
4702921684,4/30/16 0:00,1,479,501,8.35,7.983333333,Saturday
5577150313,4/30/16 0:00,1,412,433,7.216666667,6.866666667,Saturday
6962181067,4/30/16 0:00,1,422,424,7.066666667,7.033333333,Saturday
7086361926,4/30/16 0:00,1,485,489,8.15,8.083333333,Saturday
8378563200,4/30/16 0:00,1,468,555,9.25,7.8,Saturday
8792009665,4/30/16 0:00,1,343,360,6,5.716666667,Saturday
4445114986,5/1/16 0:00,2,439,459,7.65,7.316666667,Sunday
5553957443,5/1/16 0:00,2,622,686,11.43333333,10.36666667,Sunday
1503960366,5/1/16 0:00,1,369,396,6.6,6.15,Sunday
1844505072,5/1/16 0:00,1,590,961,16.01666667,9.833333333,Sunday
2026352035,5/1/16 0:00,1,527,546,9.1,8.783333333,Sunday
3977333714,5/1/16 0:00,1,383,626,10.43333333,6.383333333,Sunday
4319703577,5/1/16 0:00,1,484,500,8.333333333,8.066666667,Sunday
4388161847,5/1/16 0:00,1,547,597,9.95,9.116666667,Sunday
4558609924,5/1/16 0:00,1,115,129,2.15,1.916666667,Sunday
5577150313,5/1/16 0:00,1,379,398,6.633333333,6.316666667,Sunday
6117666160,5/1/16 0:00,1,507,575,9.583333333,8.45,Sunday
6962181067,5/1/16 0:00,1,411,426,7.1,6.85,Sunday
7007744171,5/1/16 0:00,1,58,61,1.016666667,0.966666667,Sunday
7086361926,5/1/16 0:00,1,388,407,6.783333333,6.466666667,Sunday
8378563200,5/1/16 0:00,1,475,539,8.983333333,7.916666667,Sunday
8792009665,5/1/16 0:00,1,503,527,8.783333333,8.383333333,Sunday
4388161847,5/2/16 0:00,2,368,376,6.266666667,6.133333333,Monday
5577150313,5/2/16 0:00,2,525,553,9.216666667,8.75,Monday
1503960366,5/2/16 0:00,1,277,309,5.15,4.616666667,Monday
1644430081,5/2/16 0:00,1,796,961,16.01666667,13.26666667,Monday
2026352035,5/2/16 0:00,1,511,543,9.05,8.516666667,Monday
3977333714,5/2/16 0:00,1,230,384,6.4,3.833333333,Monday
4319703577,5/2/16 0:00,1,478,506,8.433333333,7.966666667,Monday
4445114986,5/2/16 0:00,1,502,542,9.033333333,8.366666667,Monday
5553957443,5/2/16 0:00,1,409,471,7.85,6.816666667,Monday
6962181067,5/2/16 0:00,1,466,482,8.033333333,7.766666667,Monday
7086361926,5/2/16 0:00,1,440,459,7.65,7.333333333,Monday
8378563200,5/2/16 0:00,1,351,385,6.416666667,5.85,Monday
8792009665,5/2/16 0:00,1,415,423,7.05,6.916666667,Monday
4445114986,5/3/16 0:00,2,417,450,7.5,6.95,Tuesday
1503960366,5/3/16 0:00,1,273,296,4.933333333,4.55,Tuesday
3977333714,5/3/16 0:00,1,292,500,8.333333333,4.866666667,Tuesday
4020332650,5/3/16 0:00,1,322,332,5.533333333,5.366666667,Tuesday
4319703577,5/3/16 0:00,1,474,512,8.533333333,7.9,Tuesday
4702921684,5/3/16 0:00,1,327,373,6.216666667,5.45,Tuesday
5553957443,5/3/16 0:00,1,380,429,7.15,6.333333333,Tuesday
5577150313,5/3/16 0:00,1,508,543,9.05,8.466666667,Tuesday
6962181067,5/3/16 0:00,1,394,418,6.966666667,6.566666667,Tuesday
7086361926,5/3/16 0:00,1,456,461,7.683333333,7.6,Tuesday
8378563200,5/3/16 0:00,1,405,429,7.15,6.75,Tuesday
8792009665,5/3/16 0:00,1,516,545,9.083333333,8.6,Tuesday
4445114986,5/4/16 0:00,2,337,363,6.05,5.616666667,Wednesday
2026352035,5/4/16 0:00,1,538,560,9.333333333,8.966666667,Wednesday
3977333714,5/4/16 0:00,1,213,336,5.6,3.55,Wednesday
4020332650,5/4/16 0:00,1,478,536,8.933333333,7.966666667,Wednesday
4388161847,5/4/16 0:00,1,390,414,6.9,6.5,Wednesday
4702921684,5/4/16 0:00,1,412,434,7.233333333,6.866666667,Wednesday
5553957443,5/4/16 0:00,1,447,470,7.833333333,7.45,Wednesday
5577150313,5/4/16 0:00,1,603,634,10.56666667,10.05,Wednesday
6962181067,5/4/16 0:00,1,442,455,7.583333333,7.366666667,Wednesday
7086361926,5/4/16 0:00,1,420,436,7.266666667,7,Wednesday
8378563200,5/4/16 0:00,1,441,477,7.95,7.35,Wednesday
8792009665,5/4/16 0:00,1,439,463,7.716666667,7.316666667,Wednesday
4445114986,5/5/16 0:00,2,462,513,8.55,7.7,Thursday
1503960366,5/5/16 0:00,1,247,264,4.4,4.116666667,Thursday
2026352035,5/5/16 0:00,1,468,485,8.083333333,7.8,Thursday
3977333714,5/5/16 0:00,1,318,480,8,5.3,Thursday
4020332650,5/5/16 0:00,1,226,248,4.133333333,3.766666667,Thursday
4388161847,5/5/16 0:00,1,471,495,8.25,7.85,Thursday
4702921684,5/5/16 0:00,1,414,428,7.133333333,6.9,Thursday
5553957443,5/5/16 0:00,1,419,464,7.733333333,6.983333333,Thursday
5577150313,5/5/16 0:00,1,74,78,1.3,1.233333333,Thursday
6117666160,5/5/16 0:00,1,392,415,6.916666667,6.533333333,Thursday
6962181067,5/5/16 0:00,1,467,491,8.183333333,7.783333333,Thursday
8378563200,5/5/16 0:00,1,381,417,6.95,6.35,Thursday
4445114986,5/6/16 0:00,2,374,402,6.7,6.233333333,Friday
6117666160,5/6/16 0:00,2,658,698,11.63333333,10.96666667,Friday
1503960366,5/6/16 0:00,1,334,367,6.116666667,5.566666667,Friday
2026352035,5/6/16 0:00,1,524,548,9.133333333,8.733333333,Friday
3977333714,5/6/16 0:00,1,323,512,8.533333333,5.383333333,Friday
4020332650,5/6/16 0:00,1,385,408,6.8,6.416666667,Friday
4319703577,5/6/16 0:00,1,450,491,8.183333333,7.5,Friday
4702921684,5/6/16 0:00,1,404,449,7.483333333,6.733333333,Friday
5553957443,5/6/16 0:00,1,400,434,7.233333333,6.666666667,Friday
6962181067,5/6/16 0:00,1,443,462,7.7,7.383333333,Friday
7086361926,5/6/16 0:00,1,322,333,5.55,5.366666667,Friday
8378563200,5/6/16 0:00,1,323,355,5.916666667,5.383333333,Friday
4445114986,5/7/16 0:00,2,401,436,7.266666667,6.683333333,Saturday
6117666160,5/7/16 0:00,2,498,507,8.45,8.3,Saturday
8378563200,5/7/16 0:00,2,459,513,8.55,7.65,Saturday
1503960366,5/7/16 0:00,1,331,349,5.816666667,5.516666667,Saturday
2026352035,5/7/16 0:00,1,511,521,8.683333333,8.516666667,Saturday
3977333714,5/7/16 0:00,1,237,443,7.383333333,3.95,Saturday
4319703577,5/7/16 0:00,1,507,530,8.833333333,8.45,Saturday
4388161847,5/7/16 0:00,1,472,496,8.266666667,7.866666667,Saturday
4702921684,5/7/16 0:00,1,520,543,9.05,8.666666667,Saturday
5553957443,5/7/16 0:00,1,442,470,7.833333333,7.366666667,Saturday
6962181067,5/7/16 0:00,1,298,334,5.566666667,4.966666667,Saturday
7086361926,5/7/16 0:00,1,530,548,9.133333333,8.833333333,Saturday
8053475328,5/7/16 0:00,1,74,75,1.25,1.233333333,Saturday
3977333714,5/8/16 0:00,2,259,456,7.6,4.316666667,Sunday
4388161847,5/8/16 0:00,2,529,541,9.016666667,8.816666667,Sunday
1503960366,5/8/16 0:00,1,594,611,10.18333333,9.9,Sunday
1644430081,5/8/16 0:00,1,137,154,2.566666667,2.283333333,Sunday
2026352035,5/8/16 0:00,1,541,568,9.466666667,9.016666667,Sunday
4020332650,5/8/16 0:00,1,364,402,6.7,6.066666667,Sunday
4319703577,5/8/16 0:00,1,602,638,10.63333333,10.03333333,Sunday
4445114986,5/8/16 0:00,1,361,391,6.516666667,6.016666667,Sunday
4558609924,5/8/16 0:00,1,123,134,2.233333333,2.05,Sunday
5553957443,5/8/16 0:00,1,568,608,10.13333333,9.466666667,Sunday
6117666160,5/8/16 0:00,1,555,603,10.05,9.25,Sunday
6962181067,5/8/16 0:00,1,541,569,9.483333333,9.016666667,Sunday
7086361926,5/8/16 0:00,1,481,510,8.5,8.016666667,Sunday
8378563200,5/8/16 0:00,1,545,606,10.1,9.083333333,Sunday
1503960366,5/9/16 0:00,1,338,342,5.7,5.633333333,Monday
2026352035,5/9/16 0:00,1,531,556,9.266666667,8.85,Monday
4319703577,5/9/16 0:00,1,535,565,9.416666667,8.916666667,Monday
4388161847,5/9/16 0:00,1,62,65,1.083333333,1.033333333,Monday
4445114986,5/9/16 0:00,1,457,533,8.883333333,7.616666667,Monday
4702921684,5/9/16 0:00,1,435,458,7.633333333,7.25,Monday
5553957443,5/9/16 0:00,1,453,494,8.233333333,7.55,Monday
6117666160,5/9/16 0:00,1,492,522,8.7,8.2,Monday
6962181067,5/9/16 0:00,1,489,497,8.283333333,8.15,Monday
7086361926,5/9/16 0:00,1,427,438,7.3,7.116666667,Monday
8378563200,5/9/16 0:00,1,359,399,6.65,5.983333333,Monday
1503960366,5/10/16 0:00,1,383,403,6.716666667,6.383333333,Tuesday
2026352035,5/10/16 0:00,1,357,380,6.333333333,5.95,Tuesday
3977333714,5/10/16 0:00,1,312,452,7.533333333,5.2,Tuesday
4020332650,5/10/16 0:00,1,442,494,8.233333333,7.366666667,Tuesday
4319703577,5/10/16 0:00,1,487,517,8.616666667,8.116666667,Tuesday
4388161847,5/10/16 0:00,1,354,375,6.25,5.9,Tuesday
4445114986,5/10/16 0:00,1,405,426,7.1,6.75,Tuesday
4702921684,5/10/16 0:00,1,416,431,7.183333333,6.933333333,Tuesday
5553957443,5/10/16 0:00,1,418,443,7.383333333,6.966666667,Tuesday
5577150313,5/10/16 0:00,1,504,562,9.366666667,8.4,Tuesday
6962181067,5/10/16 0:00,1,469,481,8.016666667,7.816666667,Tuesday
8378563200,5/10/16 0:00,1,342,391,6.516666667,5.7,Tuesday
1503960366,5/11/16 0:00,1,285,306,5.1,4.75,Wednesday
2026352035,5/11/16 0:00,1,523,553,9.216666667,8.716666667,Wednesday
4319703577,5/11/16 0:00,1,529,558,9.3,8.816666667,Wednesday
4388161847,5/11/16 0:00,1,469,494,8.233333333,7.816666667,Wednesday
4445114986,5/11/16 0:00,1,499,530,8.833333333,8.316666667,Wednesday
4702921684,5/11/16 0:00,1,354,366,6.1,5.9,Wednesday
5553957443,5/11/16 0:00,1,463,486,8.1,7.716666667,Wednesday
5577150313,5/11/16 0:00,1,431,476,7.933333333,7.183333333,Wednesday
6962181067,5/11/16 0:00,1,452,480,8,7.533333333,Wednesday
7086361926,5/11/16 0:00,1,451,463,7.716666667,7.516666667,Wednesday
8378563200,5/11/16 0:00,1,368,387,6.45,6.133333333,Wednesday
2026352035,5/12/16 0:00,1,456,485,8.083333333,7.6,Thursday
4319703577,5/12/16 0:00,1,302,321,5.35,5.033333333,Thursday
4445114986,5/12/16 0:00,1,483,501,8.35,8.05,Thursday
4702921684,5/12/16 0:00,1,404,442,7.366666667,6.733333333,Thursday
5553957443,5/12/16 0:00,1,438,475,7.916666667,7.3,Thursday
6962181067,5/12/16 0:00,1,516,535,8.916666667,8.6,Thursday
7086361926,5/12/16 0:00,1,444,457,7.616666667,7.4,Thursday
8378563200,5/12/16 0:00,1,496,546,9.1,8.266666667,Thursday